                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2941,                0.97591,                 1.4062,                0.70668,                0.61538,                0.66657,                 0.3166,                 1.8248,                 1.3579,                 1.9826,              0.0019415,              0.0019415,              0.0019415
                     35,                 1.2514,                0.93501,                 1.3756,                0.68723,                 0.6978,                0.71322,                0.33919,                 1.8657,                 1.1623,                 2.0636,              0.0019379,              0.0019379,              0.0019379
                     36,                  1.276,                0.91058,                 1.3888,                0.72408,                0.60989,                0.70272,                0.34878,                 1.8496,                 1.2836,                 1.9692,              0.0019342,              0.0019342,              0.0019342
                     37,                 1.2251,                0.88904,                 1.3542,                0.74407,                0.60704,                0.68905,                0.33529,                 1.8327,                  1.279,                 1.9792,              0.0019305,              0.0019305,              0.0019305
                     38,                 1.2224,                0.86835,                 1.3434,                0.77165,                0.63187,                0.72463,                0.37768,                 1.7775,                 1.1591,                 1.8874,              0.0019266,              0.0019266,              0.0019266
                     39,                 1.1974,                0.84332,                 1.3296,                 0.6769,                0.67033,                0.68481,                0.35415,                 1.8896,                 1.2184,                 2.0364,              0.0019226,              0.0019226,              0.0019226
                     40,                  1.217,                 0.8718,                  1.347,                 0.8038,                0.65385,                0.75927,                 0.3667,                 1.8031,                 1.1488,                 1.8999,              0.0019186,              0.0019186,              0.0019186
                     41,                 1.1954,                0.87664,                 1.3345,                0.79305,                0.65273,                0.75482,                0.39596,                 1.7269,                 1.2553,                 1.8203,              0.0019144,              0.0019144,              0.0019144
                     42,                 1.2009,                 0.8449,                 1.3355,                0.76906,                0.72527,                0.78946,                0.39833,                  1.709,                 1.0997,                 1.8471,              0.0019101,              0.0019101,              0.0019101
                     43,                 1.1955,                0.83458,                 1.3307,                0.72633,                0.62637,                0.70038,                0.35089,                 1.7717,                 1.1694,                 1.9577,              0.0019058,              0.0019058,              0.0019058
                     44,                 1.1876,                0.83146,                 1.3302,                0.73518,                0.70167,                 0.7417,                0.37364,                 1.8259,                 1.1467,                 1.9841,              0.0019013,              0.0019013,              0.0019013
                     45,                 1.1596,                0.81866,                 1.3064,                0.76384,                0.69231,                0.74015,                0.36888,                 1.8412,                 1.1985,                   1.91,              0.0018968,              0.0018968,              0.0018968
                     46,                 1.1612,                0.83101,                 1.3138,                0.72344,                0.67582,                0.72032,                 0.3552,                 1.7843,                 1.2026,                 1.9515,              0.0018921,              0.0018921,              0.0018921
                     47,                  1.157,                0.82748,                  1.312,                0.74151,                  0.662,                0.70829,                0.36513,                  1.761,                 1.1705,                 1.9096,              0.0018873,              0.0018873,              0.0018873
                     48,                 1.1481,                0.81248,                 1.3022,                0.75837,                 0.6978,                0.75215,                0.37503,                 1.7764,                 1.1477,                 1.9377,              0.0018825,              0.0018825,              0.0018825
