                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.69071,                0.43315,                 1.0136,                0.83347,                 0.7033,                0.77245,                0.39431,                 1.8263,                 1.1693,                 2.1208,              0.0010825,              0.0010825,              0.0010825
                    145,                0.69186,                 0.4407,                   1.03,                0.81868,                0.69466,                 0.7666,                0.39679,                 1.7935,                 1.0822,                 2.0829,              0.0010722,              0.0010722,              0.0010722
                    146,                0.69545,                0.44704,                 1.0286,                0.77574,                 0.6978,                0.77425,                0.39903,                 1.7876,                 1.1943,                 2.0431,              0.0010618,              0.0010618,              0.0010618
                    147,                0.67739,                0.43475,                  1.015,                0.80394,                0.68681,                0.76686,                 0.4126,                 1.7701,                 1.1839,                 2.0044,              0.0010515,              0.0010515,              0.0010515
                    148,                0.67985,                0.42893,                 1.0078,                 0.7211,                0.70879,                0.75778,                0.41345,                 1.7678,                 1.1224,                 2.0034,              0.0010411,              0.0010411,              0.0010411
                    149,                  0.683,                0.43706,                 1.0163,                 0.8271,                0.65712,                0.75963,                0.40728,                 1.7768,                  1.167,                  2.004,              0.0010307,              0.0010307,              0.0010307
                    150,                0.68194,                0.42858,                 1.0123,                0.76664,                  0.704,                 0.7536,                0.41333,                 1.7167,                 1.1342,                 1.9422,              0.0010204,              0.0010204,              0.0010204
                    151,                0.65238,                0.41283,                0.99571,                0.82844,                0.71639,                0.78618,                0.43002,                 1.7161,                 1.1188,                 1.9598,                0.00101,                0.00101,                0.00101
                    152,                0.67892,                0.43763,                  1.018,                0.85054,                0.62536,                0.74313,                0.40079,                 1.7943,                 1.3374,                  2.029,             0.00099963,             0.00099963,             0.00099963
                    153,                0.65744,                0.41744,                 1.0012,                0.82795,                0.68132,                0.77349,                0.42574,                 1.7318,                 1.1569,                 1.9734,             0.00098927,             0.00098927,             0.00098927
                    154,                0.66344,                0.41502,                 1.0079,                 0.8183,                 0.7033,                0.78126,                 0.4153,                 1.7804,                  1.097,                 2.0684,              0.0009789,              0.0009789,              0.0009789
                    155,                0.66328,                0.42303,                 1.0045,                0.78268,                0.63187,                0.74965,                 0.4059,                 1.7873,                 1.2138,                 2.0629,             0.00096854,             0.00096854,             0.00096854
                    156,                0.66123,                0.42487,                 1.0066,                0.80931,                0.65293,                0.73784,                0.40532,                 1.7538,                 1.2502,                 2.0118,             0.00095819,             0.00095819,             0.00095819
                    157,                0.65888,                0.41318,                  1.004,                0.78234,                0.68132,                0.75213,                0.40327,                 1.7553,                 1.1961,                 2.0414,             0.00094784,             0.00094784,             0.00094784
                    158,                  0.659,                0.42672,                 1.0086,                0.77444,                0.67582,                0.75541,                0.41198,                 1.7767,                 1.2221,                 2.0658,             0.00093749,             0.00093749,             0.00093749
                    159,                0.66763,                 0.4235,                 1.0111,                 0.7849,                0.70172,                0.74622,                0.40569,                  1.737,                 1.2301,                 2.0103,             0.00092716,             0.00092716,             0.00092716
                    160,                0.64729,                 0.3988,                0.98996,                0.76692,                0.70879,                 0.7679,                0.40976,                 1.7491,                 1.1639,                 2.0247,             0.00091683,             0.00091683,             0.00091683
                    161,                0.64253,                0.40091,                 0.9963,                0.79231,                0.74176,                0.77075,                0.41171,                 1.7234,                 1.0809,                 2.0109,             0.00090652,             0.00090652,             0.00090652
                    162,                0.65451,                0.41472,                0.99728,                0.84811,                0.64427,                 0.7365,                0.39539,                 1.7771,                 1.3256,                 2.0201,             0.00089621,             0.00089621,             0.00089621
